Link,Title,Category,Address,Phone,Site,Reviews,Stars,X,Y,Image
https://www.google.com/maps/place/%D8%A7%D9%84%D8%A8%D9%8A%D8%AA+%D8%A7%D9%84%D9%86%D8%B8%D9%8A%D9%81+%D9%84%D9%86%D9%82%D9%84+%D8%A7%D9%84%D8%A7%D8%AB%D8%A7%D8%AB%E2%80%AD/data=!4m7!3m6!1s0x15e355361dacfedf:0x7cf468d7eb4f4ec4!8m2!3d18.2124471!4d42.5338846!16s%2Fg%2F11w44tsg19!19sChIJ3_6sHTZV4xURxE5P69do9Hw?authuser=0&hl=en&rclk=1,البيت النظيف لنقل الاثاث,Moving and storage service,"حي، 3776 الامير محمد بن عبدالعزايز, Mansak, Abha 62523, Saudi Arabia ",+966532996009,https://maps.app.goo.gl/GfRmAmptUkjRtwfh9?g_st=com.google.maps.preview.copy,25,4.5,18.2124471,42.5338846,https://lh3.googleusercontent.com/a/ACg8ocIFO0cWHK0OB8devFDkWJW6ypYr9P6dLT7ono_91eoaRIo0rw=w36-h36-p-rp-mo-ba2-br100
https://www.google.com/maps/place/%D9%85%D8%B1%D8%B6%D9%8A%D8%A9+%D9%84%D9%86%D9%82%D9%84+%D8%A7%D9%84%D8%A3%D8%AB%D8%A7%D8%AB%E2%80%AD/data=!4m7!3m6!1s0x15e35519ca6e521f:0x3857ad4f652ade3b!8m2!3d18.2123928!4d42.5333198!16s%2Fg%2F11wqw4d7z6!19sChIJH1JuyhlV4xURO94qZU-tVzg?authuser=0&hl=en&rclk=1,مرضية لنقل الأثاث,Moving and storage service,"3685 الامير محمد بن عبدالعزيز، حي الربوة, Abha 62523, Saudi Arabia ",+966508808351,https://eljwahra.com/,13,5.0,18.2123928,42.5333198,https://lh3.googleusercontent.com/a-/ALV-UjUBJ5WWE5q65c8IDQ19tUPNNj_fKNWWO9_7xryl-SrW8371ixfo=w36-h36-p-rp-mo-br100
https://www.google.com/maps/place/%D8%A7%D9%84%D8%AA%D8%B9%D8%A7%D9%88%D9%86+%D9%84%D9%86%D9%82%D9%84+%D8%A7%D9%84%D8%B9%D9%81%D8%B4%E2%80%AD/data=!4m7!3m6!1s0x15e355fe7bea22ed:0x369acc2176d0c92!8m2!3d18.2123078!4d42.53314!16s%2Fg%2F11vyscpnvp!19sChIJ7SLqe_5V4xURkgxtF8KsaQM?authuser=0&hl=en&rclk=1,التعاون لنقل العفش,Furniture accessories,"الأمير محمد بن عبدالعزيز, Mansak, Abha 62523, Saudi Arabia ",+966556984277,,11,4.8,18.2123078,42.533141,https://lh3.googleusercontent.com/a/ACg8ocJayS_sIvI33tpXBPcXbxJZQyLsZug2asRhCSvBQzJwu-uXng=w36-h36-p-rp-mo-br100
https://www.google.com/maps/place/%D9%85%D8%A4%D8%B3%D8%B3%D8%A9+%D9%86%D9%87%D8%B6%D8%A9+%D8%A7%D9%84%D8%A8%D8%B1%D9%83%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x15e35557567cfac1:0x524a917392fddfb2!8m2!3d18.2122779!4d42.5321121!16s%2Fg%2F11kq3_r65q!19sChIJwfp8VldV4xURst_9knORSlI?authuser=0&hl=en&rclk=1,مؤسسة نهضة البركة,Moving and storage service,"3592 9118 الامير محمد بن عبدالعزيز, Mansak, Abha 62523, Saudi Arabia ",+966500021947,,36,4.4,18.2122779,42.5321121,https://lh3.googleusercontent.com/a-/ALV-UjUOc2mvUTAnL8LLyCtJb80tl3pFJnOMTxRxr02yz4ZhwR14E4myVQ=w36-h36-p-rp-mo-br100
https://www.google.com/maps/place/%D9%85%D8%B9%D8%B1%D8%B6+%D9%85%D9%81%D8%B1%D9%88%D8%B4%D8%A7%D8%AA+%D8%A3%D8%A8%D9%88+%D9%81%D9%87%D8%AF+%D9%88%D9%86%D9%82%D9%84+%D8%B9%D9%81%D8%B4%E2%80%AD/data=!4m7!3m6!1s0x15e354b0bbd89b9f:0xcb634a208391b954!8m2!3d18.2123905!4d42.5335835!16s%2Fg%2F11gcg1hzxs!19sChIJn5vYu7BU4xURVLmRgyBKY8s?authuser=0&hl=en&rclk=1,معرض مفروشات أبو فهد ونقل عفش,Furniture store,"شارع الامير محمد بن عبد العزيز, Mansak, Abha 62523, Saudi Arabia ",+966561406717,https://maps.app.goo.gl/czfxhvdenZrLf2KN9,22,4.7,18.2123905,42.5335835,https://lh3.googleusercontent.com/a/ACg8ocL8nobQPZfMgPBdJhGMzmIIx8N83rYtpA9nUOFoR0AGELej4Q=w36-h36-p-rp-mo-br100
https://www.google.com/maps/place/%D8%B4%D8%B1%D9%83%D8%A9+%D8%A7%D9%84%D9%82%D8%A7%D8%B6%D9%8A+%D9%84%D9%86%D9%82%D9%84+%D8%A3%D9%84%D8%A7%D8%AB%D8%A7%D8%AB%E2%80%AD/data=!4m7!3m6!1s0x15fb59a27e75b3eb:0xa4ea38de2aaa1a54!8m2!3d18.2960808!4d42.72361!16s%2Fg%2F11rv1cz6r1!19sChIJ67N1fqJZ-xURVBqqKt446qQ?authuser=0&hl=en&rclk=1,شركة القاضي لنقل ألاثاث,Home help service agency,"شارع, Alkhazzan, Khamis Mushait 62616, Saudi Arabia ",+966507984921,https://alkadymovers.com/,104,4.3,18.2960808,42.723611,https://lh3.googleusercontent.com/a/ACg8ocLPkIR0cYqHNSe2lUYmVHfmYeIkzFrDR4gEgUzN-PuB-f9QyQ=w36-h36-p-rp-mo-ba2-br100
https://www.google.com/maps/place/%D8%A7%D9%84%D8%B9%D9%86%D8%A7%D9%8A%D9%87+%D8%A7%D9%84%D9%81%D8%B6%D9%8A%D9%87+%D9%84%D9%84%D9%86%D9%82%D9%84%D9%8A%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x15e355007fdd5cbb:0x526c5aaaf9d185e9!8m2!3d18.214232!4d42.506941!16s%2Fg%2F11x2b7dkq9!19sChIJu1zdfwBV4xUR6YXR-apabFI?authuser=0&hl=en&rclk=1,العنايه الفضيه للنقليات,Transportation service,"حي, Al Khasha، ABDC4085، 4085 شارع عمر بن عبدالعزيز، 7607, Abha 62521, Saudi Arabia ",+966555718828,,12,4.9,18.214232,42.506941,https://lh3.googleusercontent.com/a/ACg8ocIy_GlDFx6cnUC31u7ClBmGjNo69xlW9eqKPZZPqIWQaDpg-A=w36-h36-p-rp-mo-ba2-br100
https://www.google.com/maps/place/%D8%B3%D8%B7%D8%AD%D9%87%D9%A6.%D9%A3%D9%A0+%D9%84%D9%86%D9%82%D9%84+%D8%AC%D9%85%D9%8A%D8%B9+%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%A8%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x15fcab66d5500a45:0x7e812205eeb89a2b!8m2!3d18.2435252!4d42.611873!16s%2Fg%2F11vd9gwnyg!19sChIJRQpQ1War_BURK5q47gUigX4?authuser=0&hl=en&rclk=1,سطحه٦.٣٠ لنقل جميع المركبات,Transportation service,"King Fahd Rd, Almahalah, Abha 62562, Saudi Arabia ",+966594444822,,,4.2,18.2435252,42.611873,
https://www.google.com/maps/place/%D8%AF%D9%8A%D9%86%D9%87%E2%80%AD/data=!4m7!3m6!1s0x15e353a7b03f041f:0x312f1066c59e5cf!8m2!3d18.1998461!4d42.4919331!16s%2Fg%2F11v3pgc5k3!19sChIJHwQ_sKdT4xURz-VZbAbxEgM?authuser=0&hl=en&rclk=1,دينه,Transportation service,"5FXR+WQ, As Sarawat, Abha 62511, Saudi Arabia ",,,3,4.7,18.1998461,42.4919331,https://lh3.googleusercontent.com/a/ACg8ocKS8VfwXhRPUx-j9n_0HQ0i8lTEDZt6xgdsx-dyjVGYjSV2lA=w36-h36-p-rp-mo-br100
https://www.google.com/maps/place/Haraj+Abha/data=!4m7!3m6!1s0x15e35547ab408ecf:0x8cde27ef78cc48a2!8m2!3d18.2486459!4d42.5280406!16s%2Fg%2F11f9slpdsd!19sChIJz45Aq0dV4xURokjMeO8n3ow?authuser=0&hl=en&rclk=1,Haraj Abha,Flea market,"As Sharafiyah, Abha 62542, Saudi Arabia ",+966557597588,,324,3.0,18.2486459,42.5280406,https://lh3.googleusercontent.com/a-/ALV-UjV8meJgGneNTOoARlBGmxzbAca8H2G3btavhd1HBcurCLRm78E=w36-h36-p-rp-mo-ba3-br100
https://www.google.com/maps/place/%D8%AF%D9%8A%D9%86%D8%A7+%D9%88%D9%86%D8%B4+%D8%AF%D9%8A%D9%86%D8%A7+%D8%B9%D9%81%D8%B4%E2%80%AD/data=!4m7!3m6!1s0x15e35300460ce457:0x2b4e02e26124a98!8m2!3d18.1996133!4d42.5207839!16s%2Fg%2F11ld86z1nn!19sChIJV-QMRgBT4xURmEoSJi7gtAI?authuser=0&hl=en&rclk=1,دينا ونش دينا عفش,Wholesaler,"5345 طريق جيزان, Al Dabab، 8842, Abha 62522, Saudi Arabia ",,,,4.7,18.1996133,42.5207839,
https://www.google.com/maps/place/%D9%85%D9%81%D8%B1%D9%88%D8%B4%D8%A7%D8%AA+%D8%A7%D9%84%D9%86%D8%AC%D9%8A%D9%85%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x15e354972825b3bd:0xc1ebed2611c85af9!8m2!3d18.2162078!4d42.5269479!16s%2Fg%2F11f2b6t2zs!19sChIJvbMlKJdU4xUR-VrIESbt68E?authuser=0&hl=en&rclk=1,مفروشات النجيمي,Furniture store,"6G8G+FQP، حي النميص, Mansak, Abha 62523, Saudi Arabia ",+966509586736,,10,2.9,18.2162078,42.5269479,https://lh3.googleusercontent.com/a-/ALV-UjUN5Bx1mNZIllgDEHdyhssjDzA1JBwwDW3KyvmVimrKR_SsV3Kq=w36-h36-p-rp-mo-ba3-br100
https://www.google.com/maps/place/DURMA/data=!4m7!3m6!1s0x15e3556e756e2aa5:0x8a3134f71a842604!8m2!3d18.2272936!4d42.5055712!16s%2Fg%2F11lzpty49q!19sChIJpSpudW5V4xURBCaEGvc0MYo?authuser=0&hl=en&rclk=1,DURMA,Corporate office,"District, Box 9062 Raja Bin Haywa, ABDA9062, 3959 Shamsan, Abha 62521, Saudi Arabia ",,,,,18.2272936,42.5055712,
https://www.google.com/maps/place/%D8%A7%D9%84%D8%A7%D8%B7%D9%84%D8%A7%D9%84+%D9%84%D9%84%D9%86%D9%82%D9%84%D9%8A%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x1608071d727d1647:0x621ed1744f1a04b6!8m2!3d16.8988216!4d42.588458!16s%2Fg%2F11vysh0gdm!19sChIJRxZ9ch0HCBYRtgQaT3TRHmI?authuser=0&hl=en&rclk=1,الاطلال للنقليات,Transportation service,,+966563458359,https://naqelafsh-sa.com/,64,3.8,16.8988216,42.588458,https://lh3.googleusercontent.com/a-/ALV-UjXPK5kuSjtDUBap0apeu1J3l3UIVbAX0CJXdm_S0Rww1yc2rblP=w36-h36-p-rp-mo-br100
https://www.google.com/maps/place/Al+Shamlani+International+Company+Abu+Arish/data=!4m7!3m6!1s0x1607f5ba4e5b5dbf:0x631f27eca2e58d68!8m2!3d16.984731!4d42.836524!16s%2Fg%2F11pwsd7pkk!19sChIJv11bTrr1BxYRaI3louwnH2M?authuser=0&hl=en&rclk=1,Al Shamlani International Company Abu Arish,Shipping company,"King Saud St, An Nahdah, Abu Arish 84417, Saudi Arabia ",+9668001000741,http://antex.com.sa/,505,3.4,16.984731,42.836524,https://lh3.googleusercontent.com/a-/ALV-UjXkn74JgmOWpH9fQLilI_g3Hak-nIuOYB_riSTY5B-X3rnCDI17=w36-h36-p-rp-mo-ba2-br100
https://www.google.com/maps/place/Al+Fursan+Transport/data=!4m7!3m6!1s0x1607fd00709a8a6d:0xe959ed84b285db0e!8m2!3d16.9592875!4d42.5666352!16s%2Fg%2F11w4d7mctn!19sChIJbYqacAD9BxYRDtuFsoTtWek?authuser=0&hl=en&rclk=1,Al Fursan Transport,Transportation escort service,"7562-7060 King Fahd Rd, Ash Shati, Jazan 82816, Saudi Arabia ",+966534466691,http://fagr-elganub.com/,28,5.0,16.9592875,42.5666352,https://lh3.googleusercontent.com/a/ACg8ocK1NQpxPfaqjbXLIbCTkfg1Pks5ssD8hHpb9ZztciKo3-BR=w36-h36-p-rp-mo-br100
https://www.google.com/maps/place/Arishin/data=!4m7!3m6!1s0x1607f73b17a8404d:0x4b3b5eeef95b3b5f!8m2!3d16.9902755!4d42.76799!16s%2Fg%2F11tjzjdt3r!19sChIJTUCoFzv3BxYRXztb-e5eO0s?authuser=0&hl=en&rclk=1,Arishin,Place of worship,"84751 ابو عريش،، جدة 84761, Saudi Arabia ",,,2,5.0,16.9902755,42.767991,https://lh3.googleusercontent.com/a/ACg8ocK6gxqt-uJRQQ0NF088yzgxBhKFaW4yVWquzdiWg3D5ATnLHA=w36-h36-p-rp-mo-br100
https://www.google.com/maps/place/Najam+Al+Janoub/data=!4m7!3m6!1s0x1607e300691c7527:0x7700b9de7ba588e1!8m2!3d16.8893586!4d42.5705674!16s%2Fg%2F11w7mjswbn!19sChIJJ3UcaQDjBxYR4Yile965AHc?authuser=0&hl=en&rclk=1,Najam Al Janoub,Transportation service,"عيسي بن اوس، 7538, Jazan 82635, Saudi Arabia ",+966534877809,https://naqlafsh-sa.com/,22,5.0,16.8893586,42.5705674,https://lh3.googleusercontent.com/a/ACg8ocK6aLYyZiC0jTOcPBKhAmT-pc9iFLx77y1I1LYBczRF98dtlg=w36-h36-p-rp-mo-br100
https://www.google.com/maps/place/%D9%85%D8%B4%D8%A7%D9%88%D9%8A%D8%B1+%D8%AF%D8%A8%D8%A7%D8%A8%E2%80%AD/data=!4m7!3m6!1s0x16078b0022b545eb:0xa587b223949886b4!8m2!3d16.9282119!4d42.8884273!16s%2Fg%2F11ldrxpmzp!19sChIJ60W1IgCLBxYRtIaYlCOyh6U?authuser=0&hl=en&rclk=1,مشاوير دباب,Transportation service,"XRP8+RVM، النهضة, Abu Arish 84719, Saudi Arabia ",,,1 ,5.0,16.9282119,42.8884273,https://lh3.googleusercontent.com/a-/ALV-UjUuCM0ybR-Xsuf2fMXfCgRCqyjsPOH1oy98gsgE0YxGJjelE6I=w36-h36-p-rp-mo-ba3-br100
https://www.google.com/maps/place/%D8%A3%D8%A8%D9%88+%D8%B9%D8%B1%D9%8A%D8%B4+%D9%85%D8%AC%D9%85%D8%B9+%D8%AA%D8%A7%D9%84%D8%A7+%D8%A7%D9%84%D8%B3%D9%83%D9%86%D9%8A+%D8%BA%D8%B1%D9%81%D8%AA%D9%8A%D9%86+%D8%B5%D8%A7%D9%84%D8%A9+%D9%85%D8%B7%D8%A8%D8%AE+%D8%AF%D9%88%D8%B1%D8%A9+%D9%85%D9%8A%D8%A7%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x15fd5f758dc1e3fb:0x922ba418b67402ee!8m2!3d17.0113839!4d42.8247442!16s%2Fg%2F11f54tp2x0!19sChIJ--PBjXVf_RUR7gJ0thikK5I?authuser=0&hl=en&rclk=1,أبو عريش مجمع تالا السكني غرفتين صالة مطبخ دورة مياة,Hotel,"2R6F+HV5، أبو عريش _ حاكمة،, Abu Arish Saudi Arabia ",+966599940901,,30,4.0,17.0113839,42.8247442,https://lh3.googleusercontent.com/a/ACg8ocLCuh7VaI9GK0unPR8aacMNB9zXG2rIXFLqvGkjlbiJ8baQTA=w36-h36-p-rp-mo-ba4-br100
https://www.google.com/maps/place/%D9%85%D9%86%D8%A7%D9%81+%D8%A7%D9%84%D8%AC%D9%86%D9%88%D8%A8+%D9%84%D9%84%D9%86%D9%82%D9%84+%D9%88%D8%A7%D9%84%D8%AA%D8%AE%D8%B2%D9%8A%D9%86%E2%80%AD/data=!4m7!3m6!1s0x1607e305d2eb4249:0x5acd018c0c7b071b!8m2!3d16.8935968!4d42.5571272!16s%2Fg%2F11kpzvgfvx!19sChIJSULr0gXjBxYRGwd7DIwBzVo?authuser=0&hl=en&rclk=1,مناف الجنوب للنقل والتخزين,Transportation service,"VHV4+CVJ, Jazan 82723, Saudi Arabia ",+966531329288,,3,5.0,16.8935968,42.5571272,https://lh3.googleusercontent.com/a-/ALV-UjV44qF3Rdg98fTSIPJzgbhylagC2014COAB9yP9cHq-l7aBl5iq=w36-h36-p-rp-mo-br100
https://www.google.com/maps/place/%D8%AF%D9%8A%D9%86%D8%A7+%D9%86%D9%82%D9%84+%D8%B9%D9%81%D8%B4%E2%80%AD/data=!4m7!3m6!1s0x1607bf0bcc6d6483:0xbda1f1bfbfba3727!8m2!3d16.5936422!4d42.9316437!16s%2Fg%2F11y6x0r4qy!19sChIJg2RtzAu_BxYRJze6v7_xob0?authuser=0&hl=en&rclk=1,دينا نقل عفش,City department of transportation,"العام, Samtah 11002, Saudi Arabia ",+966559469091,,5,4.8,16.5936422,42.9316437,https://lh3.googleusercontent.com/a/ACg8ocJPSAep7KmQQuJth2GBwjqsw3ZSiVDnnAuQ_dmcsftL2HA5eQ=w36-h36-p-rp-mo-br100
